하늘 님과 카카오톡 대화
저장한 날짜 : 2026년 8월 4일 오전 11:00

2025년 1월 7일 오후 4:01, 민서 : 아 그래?
2025년 1월 7일 오후 4:02, 민서 : ㅇㅋ
2025년 1월 7일 오후 4:25, 하늘 : 오늘 어땠어?
2025년 1월 7일 오후 4:35, 민서 : ㅇㅋ
2025년 1월 7일 오후 4:37, 민서 : 사진
2025년 1월 7일 오후 4:41, 민서 : 어제 그 카페 다시 가봤는데 자리가 없어서 그냥 편의점에서 커피 사왔어
2025년 1월 7일 오후 4:55, 하늘 : 내일 몇 시에 볼까
2025년 1월 7일 오후 4:58, 하늘 : 주말에 뭐 할지 정했어? 나는 그냥 집에서 쉬는 것도 괜찮을 것 같은데
2025년 1월 7일 오후 5:02, 하늘 : ㅋㅋ
2025년 1월 7일 오후 5:40, 민서 : 오늘 있었던 일 순서대로 말하면
아침에 늦잠 자고
점심에 회의 두 개 하고
저녁엔 그냥 뻗었어
2025년 1월 7일 오후 5:41, 민서 : ㅋㅋ
2025년 1월 7일 오후 5:45, 민서 : 주말에 뭐 해?
2025년 1월 7일 오후 6:12, 하늘 : 오늘 좀 힘들었어
2025년 1월 7일 오후 6:20, 민서 : 밥 먹었어?
2025년 1월 10일 오후 9:06, 민서 : 오늘 좀 힘들었어
2025년 1월 10일 오후 9:11, 민서 : 지금 뭐해
2025년 1월 10일 오후 9:14, 민서 : 넹
2025년 1월 10일 오후 9:55, 하늘 : 주말에 뭐 할지 정했어? 나는 그냥 집에서 쉬는 것도 괜찮을 것 같은데
2025년 1월 10일 오후 9:58, 하늘 : 알겠어
2025년 1월 10일 오후 10:04, 하늘 : ㅎㅎ
2025년 1월 10일 오후 10:14, 민서 : 괜찮아 신경 쓰지 마
2025년 1월 10일 오후 10:18, 민서 : 방금 도착했어
2025년 1월 10일 오후 10:20, 민서 : 내일 볼 수 있어?
2025년 1월 10일 오후 10:54, 하늘 : 그건 좀 아쉽다
2025년 1월 10일 오후 11:35, 민서 : 오늘 좀 힘들었어
2025년 1월 10일 오후 11:39, 민서 : 밥은 먹었어?
2025년 1월 11일 오전 12:20, 하늘 : 지금 뭐해
2025년 1월 11일 오전 12:24, 하늘 : 주말에 뭐 해?
2025년 1월 11일 오전 12:29, 민서 : 그래서 어떻게 됐어?
2025년 1월 11일 오전 12:51, 하늘 : 요즘 계속 잠이 안 와서 새벽에 깨는데 그러고 나면 하루가 통째로 힘들어
2025년 1월 11일 오전 12:57, 하늘 : 밥은 먹었어?
2025년 1월 11일 오전 1:02, 하늘 : 아까 말한 그거 생각해봤는데 아무래도 다음 주에 하는 게 나을 것 같아
2025년 1월 14일 오전 10:03, 하늘 : 그래서 어떻게 됐어?
2025년 1월 14일 오전 10:07, 하늘 : 주말에 뭐 할지 정했어? 나는 그냥 집에서 쉬는 것도 괜찮을 것 같은데
2025년 1월 14일 오전 10:11, 하늘 : 그래
2025년 1월 14일 오전 10:48, 민서 : 오늘 회의가 두 시간이나 늘어져서 점심을 세 시에 먹었어 진짜 배고팠어
2025년 1월 14일 오전 10:52, 민서 : ㅇㅋ
2025년 1월 14일 오전 11:31, 하늘 : 그래서 어떻게 됐어?
2025년 1월 14일 오전 11:35, 하늘 : 고마워 진짜
2025년 1월 14일 오전 11:40, 하늘 : 이모티콘
2025년 1월 14일 오후 12:07, 민서 : 아까 말한 그거 생각해봤는데 아무래도 다음 주에 하는 게 나을 것 같아
2025년 1월 14일 오후 12:08, 민서 : 요즘 계속 잠이 안 와서 새벽에 깨는데 그러고 나면 하루가 통째로 힘들어
2025년 1월 14일 오후 12:14, 민서 : 방금 도착했어
2025년 1월 19일 오전 12:40, 하늘 : 주말에 뭐 해?
2025년 1월 19일 오전 12:44, 하늘 : 이모티콘
2025년 1월 19일 오전 12:50, 민서 : 그 영화 봤는데 생각보다 별로였어 초반은 좋았는데 후반이 늘어지더라
2025년 1월 19일 오전 12:54, 민서 : 주말에 뭐 할지 정했어? 나는 그냥 집에서 쉬는 것도 괜찮을 것 같은데
2025년 1월 19일 오전 1:37, 하늘 : 아까 말한 그거 생각해봤는데 아무래도 다음 주에 하는 게 나을 것 같아
2025년 1월 19일 오전 1:43, 하늘 : 오늘 좀 힘들었어
2025년 1월 19일 오전 1:47, 하늘 : 내일 몇 시에 볼까
2025년 1월 19일 오전 2:15, 민서 : 알겠어
2025년 1월 19일 오전 2:17, 민서 : 오늘 회의가 두 시간이나 늘어져서 점심을 세 시에 먹었어 진짜 배고팠어
2025년 1월 19일 오전 2:54, 하늘 : 아까 말한 그거 생각해봤는데 아무래도 다음 주에 하는 게 나을 것 같아
2025년 1월 19일 오전 2:59, 하늘 : 굿
2025년 1월 19일 오전 3:37, 민서 : 요즘 계속 잠이 안 와서 새벽에 깨는데 그러고 나면 하루가 통째로 힘들어
2025년 1월 19일 오전 4:10, 하늘 : 요즘 계속 잠이 안 와서 새벽에 깨는데 그러고 나면 하루가 통째로 힘들어
2025년 1월 19일 오전 4:16, 하늘 : ㅇㅋ
2025년 1월 22일 오전 10:04, 하늘 : 요즘 계속 잠이 안 와서 새벽에 깨는데 그러고 나면 하루가 통째로 힘들어
2025년 1월 22일 오전 10:15, 민서 : 무슨 일 있었어?
2025년 1월 22일 오전 10:21, 민서 : 나 이제 자러 갈게
2025년 1월 22일 오전 10:37, 하늘 : 넹
2025년 1월 22일 오전 10:40, 하늘 : 사진
2025년 1월 22일 오전 11:05, 민서 : 그래서 어떻게 됐어?
2025년 1월 22일 오전 11:07, 민서 : 내일 볼 수 있어?
2025년 1월 22일 오전 11:50, 하늘 : 오늘 어땠어?
2025년 1월 22일 오전 11:56, 하늘 : 아침에 지하철이 멈춰서 한참 서 있었어 결국 택시 타고 갔는데 지각했어
2025년 1월 22일 오후 12:19, 민서 : 지금 시간 괜찮아?
2025년 1월 22일 오후 12:34, 하늘 : 그래
2025년 1월 22일 오후 12:36, 하늘 : 오늘 어땠어?
2025년 1월 22일 오후 12:37, 하늘 : 넹
2025년 1월 22일 오후 12:50, 민서 : ㅋㅋ
2025년 1월 23일 오전 8:55, 하늘 : ㅇㅋ
